DATE,VVIX
11/13/2019,93.5
11/12/2019,90.35
11/11/2019,89.56
11/8/2019,89.06
11/7/2019,90.15
11/6/2019,89.59
11/5/2019,90.98
11/4/2019,88.75
11/1/2019,85.69
10/31/2019,88.92
10/30/2019,86.47
10/29/2019,87.75
10/28/2019,86.48
10/25/2019,83.82
10/24/2019,86.55
10/23/2019,87.59
10/22/2019,89.32
10/21/2019,87.29
10/18/2019,91.2
10/17/2019,90.27
10/16/2019,93.16
10/15/2019,93.98
10/14/2019,94.43
10/11/2019,97.7
10/10/2019,99.66
10/9/2019,101.25
10/8/2019,102.27
10/7/2019,97.04
10/4/2019,95.19
10/3/2019,98.2
10/2/2019,103.81
10/1/2019,102.74
9/30/2019,97.62
9/27/2019,103.2
9/26/2019,100.31
9/25/2019,99.68
9/24/2019,104.96
9/23/2019,97.6
9/20/2019,101.03
9/19/2019,97.3
9/18/2019,99.09
9/17/2019,101.67
9/16/2019,101.73
9/13/2019,98.93
9/12/2019,95.94
9/11/2019,97.79
9/10/2019,94.12
9/9/2019,94.5
9/6/2019,94.4
9/5/2019,95.51
9/4/2019,97.3
9/3/2019,102.19
8/30/2019,102.66
8/29/2019,99.8
8/28/2019,103.95
8/27/2019,106.49
8/26/2019,106.27
8/23/2019,111.37
8/22/2019,100.94
8/21/2019,98.03
8/20/2019,104.77
8/19/2019,101.22
8/16/2019,110.32
8/15/2019,112.26
8/14/2019,113.99
8/13/2019,102.21
8/12/2019,110.31
8/9/2019,101.52
8/8/2019,98.66
8/7/2019,104.27
8/6/2019,107.45
8/5/2019,114.4
8/2/2019,102.69
8/1/2019,105.47
7/31/2019,96.28
7/30/2019,91.58
7/29/2019,88.16
7/26/2019,83.11
7/25/2019,84.3
7/24/2019,83.89
7/23/2019,78.99
7/22/2019,81.22
7/19/2019,86.77
7/18/2019,84.04
7/17/2019,90.35
7/16/2019,88.25
7/15/2019,86.2
7/12/2019,86.14
7/11/2019,88.2
7/10/2019,85.97
7/9/2019,82.31
7/8/2019,83.66
7/5/2019,79.78
7/3/2019,80.04
7/2/2019,78.22
7/1/2019,79.58
6/28/2019,85.78
6/27/2019,86.52
6/26/2019,85.39
6/25/2019,85.16
6/24/2019,82.59
6/21/2019,83.14
6/20/2019,81.21
6/19/2019,84.58
6/18/2019,87.37
6/17/2019,83.48
6/14/2019,82.57
6/13/2019,84.73
6/12/2019,86.2
6/11/2019,84.95
6/10/2019,83.86
6/7/2019,86
6/6/2019,84.84
6/5/2019,86.72
6/4/2019,88.93
6/3/2019,96.03
5/31/2019,96.72
5/30/2019,92.78
5/29/2019,93.83
5/28/2019,95.08
5/24/2019,90.19
5/23/2019,94.98
5/22/2019,89.3
5/21/2019,92.38
5/20/2019,96.83
5/17/2019,99.12
5/16/2019,94.23
5/15/2019,94.53
5/14/2019,97.26
5/13/2019,105.6
5/10/2019,96.01
5/9/2019,102.92
5/8/2019,106.48
5/7/2019,111.54
5/6/2019,94.85
5/3/2019,86.23
5/2/2019,93.02
5/1/2019,95.75
4/30/2019,88.56
4/29/2019,86.08
4/26/2019,84.12
4/25/2019,86.94
4/24/2019,85.17
4/23/2019,81.43
4/22/2019,83.27
4/18/2019,84.41
4/17/2019,85.55
4/16/2019,83.58
4/15/2019,84.17
4/12/2019,84.98
4/11/2019,88.06
4/10/2019,89.49
4/9/2019,88.14
4/8/2019,81.86
4/5/2019,79.1
4/4/2019,82.15
4/3/2019,84.23
4/2/2019,83.28
4/1/2019,84.93
3/29/2019,85.82
3/28/2019,87.95
3/27/2019,91.34
3/26/2019,89.85
3/25/2019,97.2
3/22/2019,98.5
3/21/2019,83.89
3/20/2019,86.63
3/19/2019,87.36
3/18/2019,85.52
3/15/2019,82.94
3/14/2019,82.56
3/13/2019,82.76
3/12/2019,83.06
3/11/2019,81.23
3/8/2019,87.24
3/7/2019,88.7
3/6/2019,86.1
3/5/2019,82.46
3/4/2019,82.34
3/1/2019,79.27
2/28/2019,80
2/27/2019,80.37
2/26/2019,80.53
2/25/2019,79.35
2/22/2019,74.98
2/21/2019,76.64
2/20/2019,75.59
2/19/2019,78.64
2/15/2019,80.45
2/14/2019,81.64
2/13/2019,80.27
2/12/2019,81.63
2/11/2019,82.77
2/8/2019,82.7
2/7/2019,85.01
2/6/2019,84.99
2/5/2019,80.62
2/4/2019,77.36
2/1/2019,80
1/31/2019,79.24
1/30/2019,82.39
1/29/2019,86.84
1/28/2019,86.44
1/25/2019,83.38
1/24/2019,84.89
1/23/2019,88.45
1/22/2019,93.81
1/18/2019,82.49
1/17/2019,82.79
1/16/2019,83.34
1/15/2019,81.39
1/14/2019,83.01
1/11/2019,83.85
1/10/2019,86.35
1/9/2019,86.62
1/8/2019,82.41
1/7/2019,82.74
1/4/2019,84.44
1/3/2019,83.8
1/2/2019,81.66
12/31/2018,87.11
12/28/2018,91.24
12/27/2018,95.89
12/26/2018,97.32
12/24/2018,111.88
12/21/2018,106.61
12/20/2018,109.65
12/19/2018,105.05
12/18/2018,103.64
12/17/2018,101.55
12/14/2018,96.45
12/13/2018,93
12/12/2018,91.41
12/11/2018,89.77
12/10/2018,91.78
12/7/2018,96.49
12/6/2018,93.85
12/4/2018,96.57
12/3/2018,85.87
11/30/2018,93.59
11/29/2018,93.36
11/28/2018,93.55
11/27/2018,91.54
11/26/2018,92.17
11/23/2018,99.29
11/21/2018,100.27
11/20/2018,107.61
11/19/2018,107.13
11/16/2018,101.93
11/15/2018,107.38
11/14/2018,111.42
11/13/2018,105.32
11/12/2018,107.77
11/9/2018,100.55
11/8/2018,95.4
11/7/2018,95.75
11/6/2018,102.48
11/5/2018,101.83
11/2/2018,102.38
11/1/2018,99.57
10/31/2018,102.9
10/30/2018,106.08
10/29/2018,110.39
10/26/2018,110.49
10/25/2018,113.91
10/24/2018,118.58
10/23/2018,108.71
10/22/2018,112.15
10/19/2018,114.95
10/18/2018,116.82
10/17/2018,109.28
10/16/2018,111.78
10/15/2018,118.78
10/12/2018,124.81
10/11/2018,129.3
10/10/2018,135.61
10/9/2018,103.92
10/8/2018,102.74
10/5/2018,102.63
10/4/2018,99.44
10/3/2018,85.8
10/2/2018,88.12
10/1/2018,86.97
9/28/2018,87.31
9/27/2018,87.66
9/26/2018,91.56
9/25/2018,91.07
9/24/2018,91.51
9/21/2018,90.2
9/20/2018,87.31
9/19/2018,88.18
9/18/2018,92.49
9/17/2018,96.34
9/14/2018,88.07
9/13/2018,91.06
9/12/2018,97.24
9/11/2018,96.44
9/10/2018,100.38
9/7/2018,102.38
9/6/2018,101.36
9/5/2018,97.94
9/4/2018,95.23
8/31/2018,92.73
8/30/2018,95.11
8/29/2018,91.1
8/28/2018,92.31
8/27/2018,93.39
8/24/2018,93.95
8/23/2018,95.92
8/22/2018,95.72
8/21/2018,101.56
8/20/2018,100.77
8/17/2018,101.81
8/16/2018,103.49
8/15/2018,111.13
8/14/2018,100.34
8/13/2018,107.78
8/10/2018,99.07
8/9/2018,88.69
8/8/2018,84.42
8/7/2018,83.21
8/6/2018,84.66
8/3/2018,86.6
8/2/2018,91.66
8/1/2018,95.28
7/31/2018,94.13
7/30/2018,101.41
7/27/2018,97.15
7/26/2018,91.66
7/25/2018,94.2
7/24/2018,98.68
7/23/2018,102.04
7/20/2018,102.76
7/19/2018,100.58
7/18/2018,98.08
7/17/2018,98.56
7/16/2018,100.95
7/13/2018,99.81
7/12/2018,100.82
7/11/2018,104.5
7/10/2018,91.96
7/9/2018,94.16
7/6/2018,95.74
7/5/2018,103.22
7/3/2018,108.5
7/2/2018,104.8
6/29/2018,105.97
6/28/2018,108.88
6/27/2018,112.75
6/26/2018,107.52
6/25/2018,114.32
6/22/2018,102.49
6/21/2018,107.45
6/20/2018,98.51
6/19/2018,104.13
6/18/2018,99.87
6/15/2018,101.66
6/14/2018,98.21
6/13/2018,100.01
6/12/2018,95.71
6/11/2018,94.54
6/8/2018,93.49
6/7/2018,91.28
6/6/2018,88.12
6/5/2018,89.84
6/4/2018,90.83
6/1/2018,93.3
5/31/2018,100.63
5/30/2018,99.08
5/29/2018,108.67
5/25/2018,93.78
5/24/2018,90.64
5/23/2018,89.8
5/22/2018,90.47
5/21/2018,91.04
5/18/2018,94.76
5/17/2018,93.48
5/16/2018,94.79
5/15/2018,99.18
5/14/2018,92.62
5/11/2018,90.03
5/10/2018,93.02
5/9/2018,93.89
5/8/2018,89.5
5/7/2018,90.71
5/4/2018,88.12
5/3/2018,91.07
5/2/2018,93.79
5/1/2018,89.97
4/30/2018,94.3
4/27/2018,92.15
4/26/2018,90.71
4/25/2018,97.8
4/24/2018,100.81
4/23/2018,96.87
4/20/2018,99.21
4/19/2018,95.38
4/18/2018,92.41
4/17/2018,89.59
4/16/2018,93.22
4/13/2018,93.94
4/12/2018,98.08
4/11/2018,100.02
4/10/2018,98.21
4/9/2018,100.24
4/6/2018,98.6
4/5/2018,92.21
4/4/2018,95.44
4/3/2018,102.06
4/2/2018,111.67
3/29/2018,103.32
3/28/2018,114.02
3/27/2018,118.61
3/26/2018,113.08
3/23/2018,129.82
3/22/2018,125.12
3/21/2018,106.6
3/20/2018,107.13
3/19/2018,112.92
3/16/2018,106.49
3/15/2018,109.28
3/14/2018,110.29
3/13/2018,107.04
3/12/2018,104.94
3/9/2018,99.71
3/8/2018,96.92
3/7/2018,99.49
3/6/2018,104.61
3/5/2018,109.66
3/2/2018,114.78
3/1/2018,128.14
2/28/2018,121.7
2/27/2018,119.5
2/26/2018,107.68
2/23/2018,110.19
2/22/2018,116.98
2/21/2018,125.73
2/20/2018,122.58
2/16/2018,121.2
2/15/2018,122.76
2/14/2018,124.49
2/13/2018,136.58
2/12/2018,140.8
2/9/2018,167.28
2/8/2018,180.61
2/7/2018,159.03
2/6/2018,161.12
2/5/2018,177.34
2/2/2018,125.51
2/1/2018,105.77
1/31/2018,108.41
1/30/2018,113.48
1/29/2018,110.01
1/26/2018,98.65
1/25/2018,101.78
1/24/2018,99.77
1/23/2018,98.59
1/22/2018,99.68
1/19/2018,101.59
1/18/2018,103.68
1/17/2018,102.46
1/16/2018,106.49
1/12/2018,92.22
1/11/2018,92.24
1/10/2018,93.7
1/9/2018,94.74
1/8/2018,93.97
1/5/2018,93.1
1/4/2018,94.21
1/3/2018,94.4
1/2/2018,97.36
12/29/2017,100.76
12/28/2017,97.25
12/27/2017,97.08
12/26/2017,97.56
12/22/2017,94.9
12/21/2017,92.21
12/20/2017,92.86
12/19/2017,93.58
12/18/2017,90.64
12/15/2017,92.2
12/14/2017,96.07
12/13/2017,95.56
12/12/2017,93.27
12/11/2017,92.06
12/8/2017,91.89
12/7/2017,95.83
12/6/2017,98.17
12/5/2017,97.95
12/4/2017,97.57
12/1/2017,95.03
11/30/2017,89.94
11/29/2017,89.57
11/28/2017,85.73
11/27/2017,86.58
11/24/2017,86.32
11/22/2017,86.42
11/21/2017,89.27
11/20/2017,93.76
11/17/2017,97.12
11/16/2017,100.15
11/15/2017,106.27
11/14/2017,103.18
11/13/2017,106.3
11/10/2017,104.76
11/9/2017,98.82
11/8/2017,97.74
11/7/2017,93.45
11/6/2017,91.25
11/3/2017,89.68
11/2/2017,91.48
11/1/2017,92
10/31/2017,92.01
10/30/2017,95.19
10/27/2017,92.78
10/26/2017,97.73
10/25/2017,100.16
10/24/2017,98.43
10/23/2017,97.09
10/20/2017,90.53
10/19/2017,93.33
10/18/2017,94.34
10/17/2017,98.74
10/16/2017,97.65
10/13/2017,97.8
10/12/2017,97.77
10/11/2017,99.22
10/10/2017,97.33
10/9/2017,101.83
10/6/2017,97.09
10/5/2017,91.79
10/4/2017,92.12
10/3/2017,91.59
10/2/2017,92.48
9/29/2017,93.14
9/28/2017,94.1
9/27/2017,95.36
9/26/2017,94.81
9/25/2017,96.4
9/22/2017,93.29
9/21/2017,92.32
9/20/2017,90.91
9/19/2017,91.22
9/18/2017,90.46
9/15/2017,90.63
9/14/2017,92.09
9/13/2017,90.89
9/12/2017,92.39
9/11/2017,93.66
9/8/2017,100.12
9/7/2017,96.29
9/6/2017,99.61
9/5/2017,102.66
9/1/2017,93.6
8/31/2017,94.86
